性別,年齡,悲傷- 患者反應1,悲傷- 患者反應2,悲傷- 患者反應3,悲傷- 這是由特別事件引起的嗎？,悲傷- 這是由最近或遙遠的事件（或多個事件）引起的嗎？,悲傷- 您最近是否嘗試過協議6，並發現由於舊事件而重新點燃了無法控制的情緒？,悲傷- 您最近是否嘗試過協議11，並發現由於舊事件而重新點燃了無法控制的情緒？,悲傷- 謝謝。現在我會問一些問題以了解您的情況。,悲傷- 您是否對某人有強烈的感受或表達以下任何情緒：,悲傷- 您認為您應該成為別人的救星嗎？,悲傷- 您是否將自己視為受害者，將自己的負面情緒歸咎於他人？,悲傷- 您覺得您在試圖控制某人嗎？,悲傷- 當出現問題時，您是否總是責怪和指責自己？,悲傷- 在之前的對話中，您是否考慮過其他提出的觀點？,悲傷- 您是否正在經歷個人危機（與親人相處有困難，例如與朋友鬧翻）？,憤怒- 患者反應1,憤怒- 患者反應2,憤怒- 患者反應3,憤怒- 這是由特別事件引起的嗎？,憤怒- 這是由最近或遙遠的事件（或多個事件）引起的嗎？,憤怒- 您最近是否嘗試過協議6，並發現由於舊事件而重新點燃了無法控制的情緒？,憤怒- 您最近是否嘗試過協議11，並發現由於舊事件而重新點燃了無法控制的情緒？,憤怒- 謝謝。現在我會問一些問題以了解您的情況。,憤怒- 您是否對某人有強烈的感受或表達以下任何情緒：,憤怒- 您認為您應該成為別人的救星嗎？,憤怒- 您是否將自己視為受害者，將自己的負面情緒歸咎於他人？,憤怒- 您覺得您在試圖控制某人嗎？,憤怒- 當出現問題時，您是否總是責怪和指責自己？,憤怒- 在之前的對話中，您是否考慮過其他提出的觀點？,憤怒- 您是否正在經歷個人危機（與親人相處有困難，例如與朋友鬧翻）？,焦慮- 患者反應1,焦慮- 患者反應2,焦慮- 患者反應3,焦慮- 這是由特別事件引起的嗎？,焦慮- 這是由最近或遙遠的事件（或多個事件）引起的嗎？,焦慮- 您最近是否嘗試過協議6，並發現由於舊事件而重新點燃了無法控制的情緒？,焦慮- 您最近是否嘗試過協議11，並發現由於舊事件而重新點燃了無法控制的情緒？,焦慮- 謝謝。現在我會問一些問題以了解您的情況。,焦慮- 您是否對某人有強烈的感受或表達以下任何情緒：,焦慮- 您認為您應該成為別人的救星嗎？,焦慮- 您是否將自己視為受害者，將自己的負面情緒歸咎於他人？,焦慮- 您覺得您在試圖控制某人嗎？,焦慮- 當出現問題時，您是否總是責怪和指責自己？,焦慮- 在之前的對話中，您是否考慮過其他提出的觀點？,焦慮- 您是否正在經歷個人危機（與親人相處有困難，例如與朋友鬧翻）？,快樂- 患者反應1,快樂- 患者反應2,快樂- 患者反應3,快樂- 那很好！讓我推荐一個您可以嘗試的協議。,所有情緒- 根據您所說的，我相信您正在感受{}。這個對嗎？,所有情緒- 我很抱歉。請從下面的情緒中選擇最能反映您感受的情緒：,所有情緒- 感謝您的參與。再見,所有情緒- 這是我的建議，請選擇您想嘗試的協議,所有情緒- 請現在嘗試通過此協議。完成後，按“繼續”,所有情緒- 採取此協議後，您感覺更好還是更糟？,所有情緒- 您想嘗試另一種協議嗎？ （病人感覺好多了）,所有情緒- 您想嘗試另一種協議嗎？ （病人感覺更糟）
男性,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,目前我承受著很大的壓力。我現在正在處理家裡發生的很多事情。,我家有人感染了新冠病毒，我現在非常焦慮。,我很害怕。我不知道如果我這次考試不及格會發生什麼。,聽到這真的很難過，但有這種感覺也沒關係。是否有什麼特定的東西導致了這種感覺？,我在這兒陪你。這是什麼時候發生的，最近還是在更遠的過去？,我可以問一下，想想發生的事情對你來說是不是太痛苦了？,我可以問一下，想想發生的事情對你來說是不是太痛苦了？,感謝您分享這些信息並信任我。也許你現在可以幫助我更清楚地了解情況。,有沒有向任何人表達過這種感覺：,,,,,,,實際上我做得很好。謝謝。,好多了。現在有很多值得感激的地方。,世界頂級！,,,,,考慮到您的情況，我想為您推薦這些協議。請讓我知道您希望從哪個協議開始。,如果你能通過這個協議，我會很高興的。完成後，您可以按“繼續”。,你現在感覺如何，這是否有助於讓你感覺更好，或者不是真的？,很高興聽您這麼說。您還想嘗試其他協議嗎？,沒關係。你想嘗試另一種協議嗎？
男性,60-69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我感到有點壓力。,我今天真的很緊張。,我一點也不對。我實在應付不過來。,我很抱歉聽到這個。發生了什麼？有什麼特別讓你不安的事情嗎？,這是最近發生的，還是已經在你腦海中盤旋了一段時間的事情？,協議6 有時會讓人們感到不安，所以我想知道您是否遇到過這種情況。協議6 是否是您嘗試過並因此感到不安的東西？,協議11 有時會讓人們感到不安，所以我想知道您是否遇到過這種情況。協議6 是否是您嘗試過並因此感到不安的東西？,感謝您的分享，它幫助我了解您所經歷的一切。我將再問幾個問題，以找出幫助您度過難關的最佳方法。,我想問你一些我們並不引以為豪的感覺，但是當我們感覺不舒服時，有時對他人的負面情緒會留在我們的腦海中。最近有任何這些情緒困擾著你：,,,,,,,我感覺自己站在世界之巔。,這些天事情正在按我的方式進行。,我充滿了春天的歡樂。,,,,,我有一些想法可能會有所幫助。您可以選擇要跟隨哪個。,太好了，當你準備好時，你可以通過這個協議。完成後，按“繼續”。,該協議是否讓您感覺更好，還是產生了相反的效果？,我很高興這有幫助。您也想嘗試另一種協議嗎？,很遺憾，一個不適合你，但我們會找到一個有效的協議。還有其他可能更適合您的協議，您想嘗試一個嗎？
男性,30-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我怕我女朋友要離開我,我不知道這個月我將如何處理所有事情,我對自己的職業感到焦慮，不知道大流行結束後我會做什麼,我很遺憾聽到你有這種感覺。如果您不介意，我想問您這是否是由特定原因引起的。,我明白，我很遺憾聽到這個消息。請問這感覺是最近發生的事情，還是對過去更遙遠的事情的記憶？,協議6 可能對您的情況有所幫助，但它並不適合所有人，因此我想了解它是否適​​合您。您是否已經在過去執行了協議6，並發現它由於舊事件而重新點燃了無法控制的情緒？,協議11 可能對您的情況有所幫助，但它並不適合所有人，因此我想了解它是否適​​合您。您過去是否已經使用過協議11，並發現它因舊事件而重新點燃了無法控制的情緒？,感謝您迄今為止的開放態度。我現在想繼續提出更多問題，以便我能夠更好地理解和幫助您。,請問最近幾天，您是否對生活中的某個人有以下強烈的感受或表達：,,,,,,,我對我的新公寓和它的位置很滿意,我很高興我的老闆選擇了我參加升職,我今天感覺很棒，謝謝你的提問,,,,,如果您覺得合適，我想推薦以下協議。您可以選擇您喜歡的一種來查看其內容。,如果您現在可以嘗試選擇的協議，我將不勝感激。準備好後，返回並按“繼續”。,感謝您確認您已接受此協議，我希望這對您來說是一次積極的體驗。請問您現在感覺比開始協議之前好還是不好？,這是個好消息，謝謝你讓我知道。您現在想嘗試另一種協議嗎？,哦，我很遺憾聽到它，有時通過協議會帶回不舒服的回憶，我知道這可能很艱難。您想用不同的協議再試一次嗎？
男性,40-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我怕我得了癌症,我最近對離開家感到焦慮和害怕。這種長時間的隔離對我不利,不太好，感覺快要窒息了,好吧，我想知道是什麼讓你有這種感覺。有沒有發生什麼讓你感到焦慮的事情？,這是最近發生的還是不久前發生的？,您最近是否嘗試過協議6？這是否帶來了不舒服的回憶，讓你感到不知所措？,您最近是否嘗試過協議11？這是否帶來了不舒服的回憶，讓你感到不知所措？,感謝您與我分享這一點，我很感激這對您來說既艱難又令人沮喪。我可以問幾個問題來幫助我了解發生了什麼嗎？,您是否會說您曾經對某人有以下任何情緒，和/或表達過它們：,,,,,,,我感覺很好，我對我現在的處境感到滿意,我感覺很好，生活很好,我今天對自己感到很滿足,,,,,我認為這些協議之一可能會對您有所幫助。您想嘗試哪種協議？,試試這個協議，完成後按“繼續”。,你認為這讓你感覺更好還是讓你感覺更糟？,您想嘗試另一種協議，看看它是否也能讓您感覺更好嗎？,嘗試不同的協議，看看是否能讓你感覺更好呢？
女性,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我今天很焦慮，我要考駕照。,我今天很焦慮，一切都感覺很壓倒性。,我今天很緊張，因為我有一個大考試。,,,,,,,你認為你有責任救出自己以外的人嗎？,您認為是否有任何外部因素可能會影響您的感受，例如其他人的行為、言語或行為？,你認為你可能是在試圖掌管別人嗎？,是否有可能您總是為出錯的事情責備自己，即使它們不一定是您的錯？,與人交談時，您認為自己善於傾聽和理解他們的觀點嗎？,你個人現在是否正在經歷一段艱難的時期？,我今天感覺很好，我通過了考試！,今天能見到我的家人，我感到很興奮。,我期待著和我的朋友出去吃飯。,我很高興聽到這個！你想讓我推荐一個協議來進一步增強你的積極性嗎？,非常感謝你與我分享。從您的回答來看，您感覺{} 聽起來對嗎？,我很抱歉造成誤解。你能告訴我這些情緒中的哪一種符合你的感受嗎？,感謝您今天的合作，我很感激。回頭見！,,,,,
女性,30-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我害怕死亡，有時我只是徹夜難眠，想著生命的荒謬,我真的很擔心我的外表，有些日子我寧願根本不出門,我怕我會失業，下個月付不起房租,,,,,,,如果可以的話，我想調查一下，找出你焦慮的根源。您是否通常將自己視為救援者，肩負著將他人從自己的問題和不幸中拯救出來的任務？,我明白了，謝謝，那麼或許我們應該去別處尋找這種焦慮的根源。你會說現在有人在傷害你，強迫你做你不想做的事情或讓你受苦嗎？,沒關係，謝謝你讓我知道。難不成你就是想控制別人的人？有時，當我們自己經歷痛苦時，我們可能會這樣做。,我明白了，那很好，謝謝。最近，你是不是總發現事情沒有按計劃進行時，總是把責任推到自己身上？,我想問問你現在的思維模式，如果可以的話。一般來說，你認為自己是一個不帶偏見地傾聽他人意見的人嗎？,為了讓我能夠幫助您，我需要知道您的生活中是否正在發生重大事件。你覺得你現在過得特別困難，無論是在工作中，在家裡還是和朋友在一起？,我今天感覺很好,這是一個如此美好的晴天,我今天比上週快樂多了,哦，真是太好聽了！如果您願意，我想推荐一個符合您當前感覺的協議。,明白了，謝謝從你告訴我的情況來看，我會說你現在感覺{}，這聽起來對嗎？,哦，真的很抱歉，我當時一定是誤會了。您能否通過從以下列表中選擇來告訴我您的感受：,非常感謝您今天抽出時間與我們合作，希望您喜歡我們的會議。我期待著下次見到你。,,,,,
男性,50-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,真的很糟糕- 真的很擔心，真的覺得可怕的事情總會發生,我今天的焦慮很嚴重，一點點事情都讓我擔心,可怕，感到害怕和神經質,,,,,,,謝謝你，我真的很感謝你的合作，我想我們應該花點時間看看是什麼讓你有這種感覺。我可以問一下，在你的生活中，你覺得以某種方式“拯救”別人是你的工作嗎？,謝謝，我現在想關注的是你對這種焦慮的感受。有沒有覺得你之所以有這種感覺是因為別人的所作所為？,謝謝，你可以直接說“不”或“是”，因為這有助於我更清楚地了解你的感受。在你的生活中，是否有一種關係讓你試圖對他們進行過多的控制？,謝謝，我想再問問你對這種焦慮的感受。你內心有沒有一個聲音對你說，這實際上完全取決於你，你應該為這種感覺負責，或者出現問題是你的錯？,現在讓我們來看看你的日常生活。當你與人交談時，當你談論事情時，當你發表意見時，你是否考慮過人們的不同觀點？,感謝您耐心回答這些問題，我想專注於您現在的真實情況。這種焦慮真的比我們所說的更糟糕嗎，你真的因為生活中正在發生的事情而痛苦嗎？,太棒了，真的太棒了,做得很好謝謝,真的很好,有這種感覺真好；我希望我們能抓住它並把它裝進瓶子裡。我可以推荐一個協議，它可以幫助增強您的感受。,謝謝你告訴我，我想確保我理解正確。我相信您有{} 的感覺，您能確認一下嗎？,哦，我很抱歉，我真的很感謝你告訴我我做錯了- 有時可能很難。你能給我一些幫助以確保我理解嗎？這是一個列表- 請讓我知道哪一個描述了您的感受：,非常感謝與我交談，我真的希望它做得很好。真的希望很快能再見到你！,,,,,
女性,40-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,老實說，我今天感到有點焦慮。我昨天見了一個朋友，現在他們被告知需要自我隔離。,很著急。我仍在等待我昨天參加的那次面試的回音。我知道我做得很好，但我上次也這麼認為，並沒有得到這份工作。,焦慮的！ ！我現在月經推遲了3 天，而且我從不遲到！,,,,,,,有時我們希望我們可以幫助或拯救我們周圍的每個人，即使以我們自己的幸福為代價。你最近有沒有特別想救人或救人？,你是否覺得事情不是你的錯，你已經做了你能做的，不應該受到責備，但別人是？,有時我們希望我們可以24/7 全天候為某人服務，但這也可能變成控制行為。您是否認為您可能對某人表現出控制性行為，或試圖接管他們生活的某些方面？,當出現問題時，您是否總是責備自己，希望自己做了不同的事情和/或挽救了這一天？,假設還有其他人以某種方式捲入這種情況，您是否嘗試從他們的角度考慮？,現在有什麼特別不舒服的地方嗎，你的生活中是否有重大問題？,好的！今天設法將我所有的任務從我的清單中核對出來。,我感覺很好，只剩下30 分鐘了，然後我就下班了整整兩個星期。,老實說，這將是我15 個月以來第一次見到我父親，這讓我很興奮。,好的！我有一些協議建議，希望能保持你的好心情。,我知道了。所以您感覺{}，對嗎？,哦，我的錯。那麼你說你今天的感覺如何？,今天真是謝謝你了。很快再見。,,,,,
男性,30-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,你為什麼這麼問我？,,,,,,,,,如果可以的話，我想調查一下，找出你焦慮的根源。您是否通常將自己視為救援者，肩負著將他人從自己的問題和不幸中拯救出來的任務？,你會說有人要為你的感受負責嗎？,您是否擔心無法知道或控制其他人將要做什麼？,你總是為出錯的事情負責嗎？,你能想到有人說過的話改變了你的想法嗎？,您是否在任何個人困難中掙扎（例如與親人或與朋友鬧翻）？,萬分謝意。你？,我其實是！,好事發生了,我看你是！如果可以的話，我想推荐一個協議。,謝謝你分享你的情緒。我認為您感覺{} 是否正確？,哦，對不起，我誤解了你的情緒。也許您可以將您當前的情緒描述為列表中的其中一種？,我非常感謝你的參與，希望我們能很快再次見面。,,,,,
女性,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我做得不好，我的焦慮正在踢我的屁股。,我實際上感覺不太好，我的頭腦很模糊，我感到焦慮，我的直覺告訴我出了什麼問題。,我有壓力,,,,,,,你認為自己是別人唯一的希望嗎？,你覺得有人要怪你嗎？,您是否覺得需要控制事物或人來幫助緩解焦慮？,當事情出錯時，你是否總覺得是你自己的錯？,您是否正確考慮了可能以某種方式捲入這種情況的其他人的觀點和觀點？,您是否在任何人際關係或生活中遇到任何困難？,我很好謝謝。,我感覺很滿足。,我真的很欣喜若狂。,那太棒了！我碰巧有一個可以幫助最大化這些積極情緒的協議，你想看看嗎？,謝謝你。根據您所說的，我會說您感覺{}，我的假設是否正確？,我很抱歉。你實際感覺如何？你能從下面的列表中選擇它嗎？,非常感謝您參加本次會議，我非常感謝您的時間。一會兒見！,,,,,
男性,30-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我今天很焦慮。,我很害怕我可能不會很好地通過考試,我對考試的題目感到焦慮,,,,,,,你相信你可以緩解人們的問題嗎？,你認為有人會因為你的感受而受到指責嗎？,你是否覺得你可能被視為控制欲強，甚至令人生畏？,你總是把自己的不幸歸咎於自己嗎？,每當別人向你提出意見時，你是否總是考慮他們的觀點？,您是否覺得自己正在經歷一些精神或社交方面的弱點和問題？,我很好。,我很震驚。,我很滿意。,這是可愛的！讓我給你一個你可以嘗試的協議。,我相信從您所說的一切中您感受到{}，這是否準確？,非常抱歉。請從以下情緒中選擇您的感受：,感謝您的參與。我們下次見面。,,,,,
男性,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我有一種害怕一會坐飛機的感覺。我真的很怕坐飛機,我擔心破壞其中一台工作中的機器會產生什麼後果。我可能會丟掉工作！,我明天要考試，我真的很害怕我沒有做好充分的準備。我是一個完美主義者，所以這種對不了解一切的擔憂讓我感到恐懼,,,,,,,這是因為有一種對他人而不是自己的幸福負責的感覺造成的嗎？,在這種情況下，是否更像是一種被其他人做錯的感覺，導致了這些消極的想法？,您是否認為您正試圖影響您無法控制的某人或某事？,你是否覺得在經歷了一次消極的經歷後，你總是對自己太苛刻，而不是把一些責任推到你無法控制的事情上？,您是否覺得自己總是盡力傾聽他人的意見，並在談話中真正嘗試理解他們？,是否有什麼個人原因導致了這些負面想法？,我很好謝謝你，我剛剛收到一個好消息,太棒了，謝謝你，我正在準備和我喜歡的人約會,太好了，我的工作剛剛加薪,聽起來不錯。我有一個協議，你可以嘗試進一步改善這種感覺，信不信由你！,謝謝，如果我錯了，請糾正我。我說您現在感覺{} 是否正確？,對不起，有時很難知道某人在鍵盤後面的感受。相反，您介意從這個列表中選擇一種更適合您當前狀態的情緒嗎？,感謝您的參與，我真的很感激，您的努力非常寶貴。祝你有美好的一天！,,,,,
女性,40-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我怕我的孩子受苦。他們發燒了,我怕我的孩子生病了,我擔心我的孩子可能感染了新冠,,,,,,,有時我們可能會覺得解決所有問題並幫助每個人是我們的工作。你認為你要為別人的幸福負責嗎？,您認為其他人的態度和/或行為會影響您的感受嗎？,你是否認為也許你是在試圖強迫別人？,會不會是你總是對自己太苛刻？,有時很容易被我們自己的觀點所迷惑。你通常對別人的觀點持開放態度嗎？,看起來你可能過得很艱難，請知道你可以和我談談。你的生活中有什麼特別令人痛苦的事情嗎？,好極了。謝謝你。,極好的。到目前為止，這是美好的一天！,這裡一切都很好。謝謝你的提問。,那太棒了現在，為了讓你感覺更好，我可以建議一個協議，你有興趣嗎？,聽起來您是{}，是嗎？,對不起，我一定是看錯了情況。請告訴我，你感覺如何？,謝謝你今天，我真的很感激。很快又趕上了。,,,,,
男性,30-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我嚇得魂不附體，身體都不舒服了。,可怕，我真的很著急,,,,,,,,你通常把別人放在自己之前嗎？,謝謝你讓我知道。有人對你做了什麼嗎？,謝謝你。有人沒有按照你喜歡的方式做事嗎？,明白了，謝謝當事情出錯時，你是否總是責備自己，即使這不是你的錯？,謝謝你的回答。您是否曾經嘗試從不同的角度看待事物，嘗試將自己置於別人的位置？,我明白。您是否覺得自己的生活遇到了困難？,再好不過了！,其實還不錯！,不能抱怨，事情進展得很順利。,涼爽的！您想嘗試一種協議來增強這種感覺嗎？,謝謝你。如果我理解正確，您的感覺是{}，對嗎？,哦對不起。你能選擇你感受到哪種情緒，或者最接近它的一種情緒嗎？,感謝您今天的時間！希望早日收到你的消息！,,,,,
女性,40-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我擔心我不會按時完成我的工作,我擔心我的工作不會達到足夠高的標準,我怕我不會通過考試,,,,,,,謝謝你。你有沒有想過你對某人有足夠的影響力，你可以或應該拯救他們？,謝謝你的回答。你是否覺得有人給你施加了不適當的壓力？,謝謝你。或許，您是否相信您正在對一個人施加不適當的壓力來獲得您所需要的結果？,沒關係，謝謝。你是否總是把情況看得太個人化，以至於你覺得對失敗負責，並認為這總是你的錯？,在過去的互動中，您是否相信自己一直在傾聽並聽到其他表達的意見？,您的個人生活中是否有任何事情對您所處的位置和目前的工作產生負面影響？,我很滿足我現在的情況,我對我的生活很滿意,我感謝我擁有的一切,為了保持內容的感覺，您可能對製定協議感興趣？,聽完您所說的，我了解到您的感受是{}，我的理解是否正確？,很抱歉我誤解了這一點。請問您從下面的列表中選擇更準確地反映您的感受的情緒嗎？,我非常感謝您所花費的時間以及您與我分享的所有內容。我希望很快能再次聯繫。,,,,,
男性,30-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我擔心我的職業,,,,,,,,,你覺得你對另一個人或其他人完全負責嗎？,謝謝，我明白了。在您看來，您是否認為自己會因為自己的感受而責怪他人？,您是否認為您可能以某種方式控製或試圖控制另一個人？,當出現問題時，你是否總是承擔責任，即使它可能根本不是你的錯？,謝謝你。回想一下您進行過的其他對話，您是否認為自己充分聽取並考慮了其他人的觀點？,你覺得你現在正在經歷人生中的一段艱難時期嗎？,感覺真好,非常感謝您的提問,都好,聽到這個消息我很高興。您是否有興趣查看可以嘗試的協議？,明白了，謝謝分享。我認為您有{} 的感覺，我這樣說是否正確？,對此我感到非常抱歉。你能從下面的情緒中突出你現在真正感受到的情緒嗎？,我真的很感謝你的努力，謝謝你的參與。讓我們很快再談。,,,,,
女性,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我感到害怕，因為我今天必須做演講,我真的很擔心我的求職面試,我很擔心我男朋友不理我的消息,,,,,,,謝謝你。如果您能夠拯救他人或幫助他們擺脫困境，您是否覺得自己的生活會更快樂？,謝謝，如果可以的話，我想問一個後續問題。我可以問你是否覺得其他人可能是你消極情緒的原因，而不是你自己的行為或行為？,我明白了，謝謝，我還有一個問題想問。你有沒有覺得生活中有些事情或人太難以預測了，並希望你能對它們有更多的控制？,謝謝，請注意，如果可以的話，讓我們進一步探索。有時事情可能會出錯或無法解決；當這種情況發生時，你是否覺得自己總是有錯？,現在，我希望您回想一下您與朋友、家人或同事的對話。你覺得你善於傾聽別人的意見，理解所有的觀點嗎？,請問您目前在生活中是否遇到了特別的困難或困難，可能會導致您過度擔心或痛苦？,我今天在公園散步時表現很好,我很高興因為我和我的朋友出去了,我今天感覺很好，因為我完成了我所有的工作,聽到這個消息我很高興！我可以建議一種可能有助於增強您的積極情緒的協議，確保您盡可能長時間地感覺良好。,從您的回复看來，您今天感覺{}，我說的對嗎？,哦不，我好像誤會了，我很抱歉。讓我再試一次：請看下面的列表，然後選擇哪種情緒最能代表您今天的感受。,今天到此結束，感謝您與我交談，我希望這次談話對您有所幫助。期待很快再次見到您。,,,,,
男性,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我怕我女朋友出軌,我覺得我女朋友一直在騙我，這讓我很焦慮,我擔心我的女朋友可能有外遇,,,,,,,謝謝你。如果我問，你覺得你必須總是幫助別人嗎？,當你情緒低落時，你是否發現自己曾經責怪別人？,你有沒有覺得你在試圖控制別人？,當事情出錯時，您是否總是覺得要自責？,我明白。你覺得你可以傾聽別人的意見來幫助你度過難關嗎？,您是否正在經歷一些讓您感到疲倦或讓您感到壓力的事情？,我感覺很好,是的，我很好,我很好謝謝,很高興你很好。我可以給你一個協議，你可以嘗試讓這種良好的感覺產生更持久的影響嗎？,根據我們的討論，我認為您可能會感覺到{}，這聽起來對嗎？,對不起，我一定是誤會了。請從下面最能反映您感受的情緒中選擇一種。,感謝您今天的耐心等待。再見！,,,,,
男性,30-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我很好，但我覺得我們可能會輸掉足球比賽,我不好，我恐懼對手,我很好，但我有一種奇怪的感覺，好像有什麼可怕的事情要發生在我身上,,,,,,,你可能認為在你目前的情況下你應該能夠拯救別人嗎？,你可能覺得自己是一個受害者，你是否覺得你的焦慮背後有人？,您是否有任何想法表明您可能希望對某個人有更多的控制權？,你是否總是傾向於為生活中的錯誤而責備自己？,你有沒有考慮過在之前的談話中呈現給你的其他觀點？,您是否有個人問題，例如與所愛的人有困難或與朋友分手？,我很好，謝謝你，感謝上帝賜予我生命,我很好，我不能抱怨,我很好，謝謝，上帝很好，生活很美好,那太好了。你能讓我沉迷於你可以嘗試增強感覺的協議嗎？,根據您告訴我的情況，您可能感覺{}，我這樣說是否正確？,請原諒我。在不引導你的情況下，請從我給你的清單中選擇你的感受。,我真的很想花時間感謝您成為如此出色的參與者。很高興能很快再次見到你。,,,,,
女性,50-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我有些害怕，因為城裡所有的騷亂讓我擔心自己會出事，否則我將無法獲得食物和必需品。,我感覺有點壓力，因為我忘記付信用卡了。,我擔心我所做的一個項目，因為我擔心我可能犯了錯誤。,,,,,,,我了解您感到焦慮。你認為你的焦慮可能是因為你試圖拯救一個可能不需要拯救的人嗎？,您可能會因為將自己視為受害者而有這種感覺嗎？,我能理解焦慮是什麼感覺，有時焦慮會讓我們覺得某人沒有按照他們應該的方式行事。可能是你試圖控制某人，甚至沒有意識到嗎？,明白了，謝謝你是否認為，當出現問題時，你總是責怪自己？,我理解您的感受並且不想以任何方式冒犯您，但我確實需要詢問您如何與其他人及其想法打交道。在之前的討論中，您是否考慮過其他人關於這個問題和其他主題的觀點？,謝謝你對我敞開心扉，我真的很感激。請問您是否遇到與親人或朋友的一些問題，或者您是否處理過任何其他重大的痛苦事件？,我感覺很棒，謝謝，我剛剛被告知我被提名一個獎項。,我很好，謝謝，此刻對我的生活感到非常滿意- 我剛剛遇到了一個了不起的人。你今天感覺如何？,我今天很開心，我剛升職加薪。,我很高興聽到這個。我認為這將是嘗試可能讓您感覺更好的協議的最佳時機。,謝謝，我只是想確保我理解正確。我想您感覺{}，這聽起來對嗎？,哦不，我很抱歉。如果您不介意，請從此列表中選擇您的感受：,非常感謝您在本次會議上與我共度時光。我真的很期待很快見到你。,,,,,
男性,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,有點擔心。,有點緊張,十分緊張。,,,,,,,也許你給自己施加了太多的壓力來幫助別人。你覺得別人太依賴你了嗎？,那麼這樣的話，我想知道，也許你覺得你太依賴別人的認可了。你認為你的負面情緒部分是由他人造成的嗎？,你覺得對別人有任何責任嗎？你會說你試圖過多地影響他們的生活嗎？,也許你對自己太苛刻了。當出現問題時，您是否總是發現自己有錯？,當您與他人交談時，您通常會嘗試了解他們的觀點嗎？,最近發生了什麼可能影響你情緒的事情嗎？例如與某人的關係發生變化。,非常好,我很好，謝謝,我感覺很好,聽到這個消息我很高興！讓我們嘗試一個協議，看看我們是否可以繼續這樣做，你怎麼說？,謝謝，我只是想確保我們在同一頁面上。您認為{} 最能描述您現在的感受嗎？,我為我的誤會道歉。您認為以下哪一項最接近您目前的感受？,非常感謝您的時間和努力。祝你有美好的一天！,,,,,
女性,30-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我今天真的很不舒服。等結果都快等瘋了！,今天醒來感覺不到自己，這讓我感到害怕。每當我有這種感覺時，總會發生一些不好的事情。,我們國家正在發生的搶搶劫事件讓我為我的生命和我所愛的人擔憂。,,,,,,,我想進一步調查一下是什麼造成了這種感覺。你認為你應該成為別人的救世主嗎？,好的，如果您能與我分享更多信息，我將不勝感激。你可能認為自己是受害者嗎？你會因為你的負面情緒而責怪別人嗎？,我明白了，謝謝你，讓我們繼續下一個問題，試圖找到你感受的根源。也許你覺得你在試圖控制某人？,好的謝謝。你會說你最近總是在責備自己，每次出了什麼問題嗎？,請告訴我，您通常容易參與對話並聽取他人意見嗎？,請記住這是一個安全的空間，我在這裡幫助您感覺更好。如果我問，您是否覺得您現在正在經歷個人危機（例如與親人相處困難或與朋友鬧翻）？,太陽出來了，我有一種感覺，這將是美好的一天！,今天，我欣喜若狂。我的結果是陰性的。,今天，我恰好是活著的最幸福的人。你知道為什麼？僅僅因為我已經讓它看到另一天。,那太棒了！我可以推荐一個您可以嘗試增強這種積極感覺的協議嗎？,感謝您通過分享您的感受來信任我。從你告訴我的情況來看，我相信你有{} 的感覺？,我很抱歉造成誤解。請從下面反映您感受的情緒中選擇一種來糾正我：,感謝您的合作和參與本次會議。期待很快見到你。,,,,,
男性,40-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我感到壓力和焦慮,我感覺不太好，有焦慮,我只想離開這裡,,,,,,,很抱歉聽到您的麻煩，讓我們嘗試深入了解它。你相信你是在讓某人失望嗎？,你認為你有壞事嗎？,你想從某人身上得到特定的東西嗎？,當事情沒有按計劃進行時，你總是責備自己嗎？,你考慮過別人的想法嗎？,在您的生活中是否有一些特別令人痛苦的事情會影響您的感受？,很好,超級好,真的很好,我可以推荐一個協議來增強它嗎？,謝謝，如果我錯了，請原諒我。我相信您是{}，我的想法是否正確？,啊，我道歉。此列表中的哪種情緒最能描述您的經歷？,真的非常感謝你。我希望很快能見到你。,,,,,
